"Date","Price","Open","High","Low","Vol.","Change %"
"22-03-2024","3,525.63","3,492.89","3,541.65","3,455.33","546.70K","0.93%"
"21-03-2024","3,493.23","3,514.73","3,583.02","3,413.60","638.79K","-0.61%"
"20-03-2024","3,514.73","3,165.07","3,531.37","3,063.60","1.26M","11.04%"
"19-03-2024","3,165.20","3,520.32","3,546.23","3,151.42","1.11M","-10.09%"
"18-03-2024","3,520.30","3,644.77","3,644.77","3,454.94","588.48K","-3.42%"
"17-03-2024","3,644.78","3,523.66","3,678.07","3,421.42","549.29K","3.44%"
"16-03-2024","3,523.68","3,741.16","3,778.60","3,476.82","567.02K","-5.81%"
"15-03-2024","3,741.12","3,881.70","3,931.33","3,591.51","981.71K","-3.68%"
"14-03-2024","3,883.94","4,004.30","4,009.92","3,729.51","672.52K","-3.01%"
"13-03-2024","4,004.29","3,979.30","4,078.48","3,935.60","503.46K","0.63%"
"12-03-2024","3,979.30","4,065.15","4,091.28","3,843.45","685.77K","-2.11%"
"11-03-2024","4,065.02","3,878.47","4,081.72","3,756.39","767.30K","4.81%"
"10-03-2024","3,878.47","3,905.17","3,961.94","3,793.64","372.52K","-0.68%"
"09-03-2024","3,905.17","3,883.20","3,941.34","3,872.96","265.43K","0.57%"
"08-03-2024","3,883.20","3,868.75","3,991.89","3,825.16","686.06K","0.35%"
"07-03-2024","3,869.69","3,814.56","3,932.77","3,736.33","568.32K","1.45%"
"06-03-2024","3,814.56","3,555.94","3,899.99","3,503.51","1.02M","7.27%"
"05-03-2024","3,556.03","3,626.39","3,819.79","3,237.28","1.48M","-1.94%"
"04-03-2024","3,626.34","3,488.67","3,638.10","3,445.47","769.53K","3.95%"
"03-03-2024","3,488.67","3,420.64","3,491.53","3,364.44","363.55K","1.99%"
"02-03-2024","3,420.64","3,433.51","3,459.96","3,395.03","296.91K","-0.37%"
"01-03-2024","3,433.51","3,339.25","3,449.56","3,339.24","431.98K","2.82%"
"29-02-2024","3,339.26","3,382.98","3,520.80","3,300.42","802.17K","-1.29%"
"28-02-2024","3,383.03","3,242.44","3,482.48","3,183.92","1.01M","4.35%"
"27-02-2024","3,242.14","3,175.94","3,285.01","3,165.91","674.56K","2.08%"
"26-02-2024","3,175.94","3,112.59","3,193.67","3,038.00","582.39K","2.04%"
"25-02-2024","3,112.59","2,992.29","3,117.59","2,984.29","450.78K","4.02%"
"24-02-2024","2,992.29","2,922.24","3,005.95","2,907.23","251.89K","2.40%"
"23-02-2024","2,922.24","2,972.47","2,992.80","2,906.43","441.33K","-1.69%"
"22-02-2024","2,972.46","2,971.18","3,031.76","2,907.22","595.92K","0.04%"